file,final_loss,mean_accuracy,std_accuracy,steps,eps,lr,q
multiseed_step40_eps0.05_lr0.1_q20.log,0.039899352307861825,50.8,2.125,40,0.05,0.1,20
multiseed_step100_eps0.1_lr0.1_q10.log,0.044489485994548786,50.2667,4.4741,100,0.1,0.1,10
multiseed_step40_eps0.01_lr0.1_q20.log,0.04313010613547601,50.0,1.5202,40,0.01,0.1,20
multiseed_step40_eps0.01_lr0.1_q30.log,0.030555375760896626,49.3333,2.2311,40,0.01,0.1,30
multiseed_step100_eps0.01_lr0.1_q10.log,0.024305150056298314,49.2,7.4165,100,0.01,0.1,10
multiseed_step40_eps0.1_lr0.1_q20.log,0.04527622871988707,49.0667,4.4741,40,0.1,0.1,20
multiseed_step80_eps0.1_lr0.1_q10.log,0.05358535895104122,48.2667,2.2549,80,0.1,0.1,10
multiseed_step100_eps0.1_lr0.1_q20.log,0.03856616801911817,48.2667,2.8158,100,0.1,0.1,20
multiseed_step100_eps0.01_lr0.1_q20.log,0.03498104259662112,48.2667,4.3533,100,0.01,0.1,20
multiseed_step80_eps0.1_lr0.1_q20.log,0.04252175600409325,47.6,1.2365,80,0.1,0.1,20
multiseed_step80_eps0.05_lr0.1_q10.log,0.04695718505435029,47.6,1.8667,80,0.05,0.1,10
multiseed_step40_eps0.01_lr0.1_q10.log,0.05510351691262114,47.4667,3.1944,40,0.01,0.1,10
multiseed_step80_eps0.01_lr0.1_q10.log,0.02772852032068076,47.2,2.9635,80,0.01,0.1,10
multiseed_step80_eps0.001_lr0.1_q10.log,0.04323307579731743,46.8,1.9956,80,0.001,0.1,10
multiseed_step100_eps0.05_lr0.1_q10.log,0.037021014211583284,46.8,3.1098,100,0.05,0.1,10
multiseed_step40_eps0.05_lr0.1_q10.log,0.064950874098618,46.4,5.7442,40,0.05,0.1,10
multiseed_step100_eps0.05_lr0.1_q20.log,0.03627844200422253,46.2667,5.3433,100,0.05,0.1,20
multiseed_step80_eps0.01_lr0.1_q20.log,0.042408210816356734,46.0,3.1552,80,0.01,0.1,20
multiseed_step40_eps0.001_lr0.1_q20.log,0.041007931224714196,45.6,2.8783,40,0.001,0.1,20
multiseed_step40_eps0.001_lr0.1_q10.log,0.06840663024023175,45.4667,4.6072,40,0.001,0.1,10
multiseed_step80_eps0.01_lr0.1_q5.log,0.04579088350293998,45.3333,4.6188,80,0.01,0.1,5
multiseed_step40_eps0.1_lr0.1_q10.log,0.05857946229938911,45.0667,6.4305,40,0.1,0.1,10
multiseed_step80_eps0.05_lr0.1_q20.log,0.057454528726891725,44.2667,4.3939,80,0.05,0.1,20
multiseed_step80_eps0.001_lr0.1_q20.log,0.036965634819981885,44.1333,4.1612,80,0.001,0.1,20
multiseed_step80_eps0.01_lr0.1_q30.log,0.023888438140583047,41.8667,3.7094,80,0.01,0.1,30
multiseed_step40_eps0.01_lr0.1_q5.log,0.07357561139962734,41.6,4.6495,40,0.01,0.1,5
multiseed_step80_eps0.05_lr0.1_q5.log,0.054980030101017596,41.2,6.4965,80,0.05,0.1,5
multiseed_step80_eps0.1_lr0.1_q5.log,0.061814137037444226,38.5333,7.1975,80,0.1,0.1,5
multiseed_step40_eps0.05_lr0.1_q5.log,0.0812589468664102,38.0,8.2408,40,0.05,0.1,5
multiseed_step40_eps0.1_lr0.1_q5.log,0.058301307179731955,35.7333,7.3345,40,0.1,0.1,5
multiseed_step80_eps0.1_lr0.1_q1.log,0.0650927051204171,35.3333,5.1294,80,0.1,0.1,1
multiseed_step80_eps0.01_lr0.1_q1.log,0.120313456569553,30.9333,9.377,80,0.01,0.1,1
multiseed_step40_eps0.01_lr0.1_q1.log,0.0826539103013205,28.2667,4.3123,40,0.01,0.1,1
multiseed_step40_eps0.05_lr0.1_q1.log,0.09579915578608361,27.7333,5.1051,40,0.05,0.1,1
multiseed_step80_eps0.05_lr0.1_q1.log,0.09067002593915245,26.2667,8.8403,80,0.05,0.1,1
multiseed_step40_eps0.1_lr0.1_q1.log,0.09841902879500004,19.4667,2.8721,40,0.1,0.1,1
